"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Distance_from_Center;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"undefined";"undefined";"undefined";"undefined";8;2;3;1;10;1;false;887;
"undefined";"undefined";"undefined";"undefined";8;8;3;1;5;1;false;799;
"undefined";"undefined";"undefined";"undefined";2;3;2;1;10;1;false;1674;
"undefined";"undefined";"undefined";"undefined";2;9;4;1;9;1;false;1261;
"undefined";"undefined";"undefined";"undefined";6;8;3;1;4;1;false;847;
"undefined";"undefined";"undefined";"undefined";2;4;1;1;7;1;false;1367;
"undefined";"undefined";"undefined";"undefined";8;5;0;1;10;1;false;748;
"undefined";"undefined";"undefined";"undefined";8;1;4;1;4;1;false;778;
"undefined";"undefined";"undefined";"undefined";8;5;0;1;9;1;false;884;
"undefined";"undefined";"undefined";"undefined";8;7;2;1;2;1;false;712;
"undefined";"undefined";"undefined";"undefined";6;7;2;1;5;1;false;945;
"undefined";"undefined";"undefined";"undefined";6;8;3;1;3;1;false;752;
"undefined";"undefined";"undefined";"undefined";8;7;2;1;10;1;false;806;
"undefined";"undefined";"undefined";"undefined";2;9;4;1;7;1;false;1496;
"undefined";"undefined";"undefined";"undefined";2;8;3;1;4;1;false;2202;
"undefined";"undefined";"undefined";"undefined";6;7;2;1;8;1;false;842;
"undefined";"undefined";"undefined";"undefined";4;7;2;1;4;1;false;831;
"undefined";"undefined";"undefined";"undefined";2;7;2;1;7;1;false;1429;
"undefined";"undefined";"undefined";"undefined";8;9;4;1;4;1;false;1276;
"undefined";"undefined";"undefined";"undefined";6;2;3;1;7;1;false;875;
"undefined";"undefined";"undefined";"undefined";4;8;3;1;2;1;false;1332;
"undefined";"undefined";"undefined";"undefined";6;7;2;1;1;1;true;986;
"undefined";"undefined";"undefined";"undefined";4;9;4;1;2;1;false;879;
"undefined";"undefined";"undefined";"undefined";2;4;1;1;8;1;false;1784;
"undefined";"undefined";"undefined";"undefined";6;6;1;1;9;1;false;1015;
"undefined";"undefined";"undefined";"undefined";6;5;0;1;10;1;false;959;
"undefined";"undefined";"undefined";"undefined";4;1;4;1;2;1;false;790;
"undefined";"undefined";"undefined";"undefined";2;6;1;1;6;1;false;1133;
"undefined";"undefined";"undefined";"undefined";8;4;1;1;7;1;false;874;
"undefined";"undefined";"undefined";"undefined";4;6;1;1;9;1;false;1007;
"undefined";"undefined";"undefined";"undefined";4;8;3;1;9;1;false;1080;
"undefined";"undefined";"undefined";"undefined";4;3;2;1;5;1;false;1213;
"undefined";"undefined";"undefined";"undefined";4;9;4;1;4;1;false;1028;
"undefined";"undefined";"undefined";"undefined";2;7;2;1;6;1;false;1292;
"undefined";"undefined";"undefined";"undefined";6;8;3;1;7;1;false;840;
"undefined";"undefined";"undefined";"undefined";2;1;4;1;9;1;false;876;
"undefined";"undefined";"undefined";"undefined";4;1;4;1;4;1;false;739;
"undefined";"undefined";"undefined";"undefined";8;1;4;1;6;1;false;628;
"undefined";"undefined";"undefined";"undefined";8;5;0;1;3;1;false;806;
"undefined";"undefined";"undefined";"undefined";2;2;3;1;6;1;false;930;
"undefined";"undefined";"undefined";"undefined";2;1;4;1;9;1;false;764;
"undefined";"undefined";"undefined";"undefined";8;8;3;1;1;1;true;765;
"undefined";"undefined";"undefined";"undefined";4;2;3;1;4;1;false;919;
"undefined";"undefined";"undefined";"undefined";6;2;3;1;2;1;false;738;
"undefined";"undefined";"undefined";"undefined";2;6;1;1;8;1;false;1188;
"undefined";"undefined";"undefined";"undefined";6;1;4;1;2;1;false;737;
"undefined";"undefined";"undefined";"undefined";2;5;0;1;7;1;false;1058;
"undefined";"undefined";"undefined";"undefined";2;2;3;1;7;1;false;1005;
"undefined";"undefined";"undefined";"undefined";2;9;4;1;7;1;false;960;
"undefined";"undefined";"undefined";"undefined";6;7;2;1;7;1;false;1114;
"undefined";"undefined";"undefined";"undefined";2;1;4;1;6;1;false;1096;
"undefined";"undefined";"undefined";"undefined";6;3;2;1;9;1;false;1005;
"undefined";"undefined";"undefined";"undefined";2;1;4;1;4;1;false;1094;
"undefined";"undefined";"undefined";"undefined";8;2;3;1;7;1;false;726;
"undefined";"undefined";"undefined";"undefined";4;3;2;1;7;1;false;1440;
"undefined";"undefined";"undefined";"undefined";4;3;2;1;7;1;false;933;
"undefined";"undefined";"undefined";"undefined";6;8;3;1;7;1;false;837;
"undefined";"undefined";"undefined";"undefined";6;1;4;1;9;1;false;827;
"undefined";"undefined";"undefined";"undefined";6;8;3;1;6;1;false;857;
"undefined";"undefined";"undefined";"undefined";2;9;4;1;9;1;false;1289;
"undefined";"undefined";"undefined";"undefined";8;9;4;1;4;1;false;815;
"undefined";"undefined";"undefined";"undefined";2;7;2;1;2;1;false;1215;
"undefined";"undefined";"undefined";"undefined";6;1;4;1;3;1;false;771;
"undefined";"undefined";"undefined";"undefined";2;8;3;1;6;1;false;1036;
"undefined";"undefined";"undefined";"undefined";6;3;2;1;2;1;false;1190;
"undefined";"undefined";"undefined";"undefined";4;8;3;1;2;1;false;1214;
"undefined";"undefined";"undefined";"undefined";6;5;0;1;2;1;false;1385;
"undefined";"undefined";"undefined";"undefined";8;3;2;1;3;1;false;724;
"undefined";"undefined";"undefined";"undefined";8;6;1;1;9;1;false;825;
"undefined";"undefined";"undefined";"undefined";4;1;4;1;2;1;false;860;
"undefined";"undefined";"undefined";"undefined";2;3;2;1;1;1;true;1305;
"undefined";"undefined";"undefined";"undefined";6;9;4;1;4;1;false;779;
"undefined";"undefined";"undefined";"undefined";8;8;3;1;2;1;false;700;
"undefined";"undefined";"undefined";"undefined";6;6;1;1;2;1;false;839;
"undefined";"undefined";"undefined";"undefined";8;2;3;1;1;1;true;817;
"undefined";"undefined";"undefined";"undefined";6;4;1;1;8;1;false;905;
"undefined";"undefined";"undefined";"undefined";8;6;1;1;10;1;false;1033;
"undefined";"undefined";"undefined";"undefined";4;3;2;1;3;1;false;1495;
"undefined";"undefined";"undefined";"undefined";4;1;4;1;9;1;false;749;
"undefined";"undefined";"undefined";"undefined";4;8;3;1;3;1;false;959;
"undefined";"undefined";"undefined";"undefined";4;5;0;1;5;1;false;1079;
"undefined";"undefined";"undefined";"undefined";4;2;3;1;7;1;false;1085;
"undefined";"undefined";"undefined";"undefined";8;7;2;1;7;1;false;821;
"undefined";"undefined";"undefined";"undefined";6;4;1;1;6;1;false;839;
"undefined";"undefined";"undefined";"undefined";8;4;1;1;5;1;false;790;
"undefined";"undefined";"undefined";"undefined";4;6;1;1;3;1;false;1071;
"undefined";"undefined";"undefined";"undefined";6;6;1;1;4;1;false;887;
"undefined";"undefined";"undefined";"undefined";2;8;3;1;7;1;false;1240;
"undefined";"undefined";"undefined";"undefined";8;9;4;1;5;1;false;869;
"undefined";"undefined";"undefined";"undefined";4;6;1;1;5;1;false;1098;
"undefined";"undefined";"undefined";"undefined";8;5;0;1;3;1;false;853;
"undefined";"undefined";"undefined";"undefined";8;1;4;1;9;1;false;684;
"undefined";"undefined";"undefined";"undefined";8;3;2;1;1;1;true;841;
"undefined";"undefined";"undefined";"undefined";2;3;2;1;5;1;false;1086;
"undefined";"undefined";"undefined";"undefined";4;5;0;1;2;1;false;1096;
"undefined";"undefined";"undefined";"undefined";8;3;2;1;1;1;true;763;
"undefined";"undefined";"undefined";"undefined";6;2;3;1;7;1;false;910;
"undefined";"undefined";"undefined";"undefined";4;2;3;1;1;1;true;782;
"undefined";"undefined";"undefined";"undefined";8;7;2;1;9;1;false;810;
"undefined";"undefined";"undefined";"undefined";2;6;1;1;10;1;false;1129;
"undefined";"undefined";"undefined";"undefined";6;3;2;1;5;1;false;808;
"undefined";"undefined";"undefined";"undefined";6;9;4;1;10;1;false;779;
"undefined";"undefined";"undefined";"undefined";8;6;1;1;1;1;true;763;
"undefined";"undefined";"undefined";"undefined";2;5;0;1;8;1;false;1883;
"undefined";"undefined";"undefined";"undefined";2;5;0;1;8;1;false;1288;
"undefined";"undefined";"undefined";"undefined";8;3;2;1;1;1;true;657;
"undefined";"undefined";"undefined";"undefined";6;3;2;1;8;1;false;759;
"undefined";"undefined";"undefined";"undefined";6;5;0;1;2;1;false;832;
"undefined";"undefined";"undefined";"undefined";4;2;3;1;8;1;false;845;
"undefined";"undefined";"undefined";"undefined";2;4;1;1;10;1;false;1258;
"undefined";"undefined";"undefined";"undefined";4;7;2;1;5;1;false;1067;
"undefined";"undefined";"undefined";"undefined";2;3;2;1;4;1;false;1390;
"undefined";"undefined";"undefined";"undefined";2;7;2;1;3;1;false;1781;
"undefined";"undefined";"undefined";"undefined";8;4;1;1;3;1;false;838;
"undefined";"undefined";"undefined";"undefined";6;9;4;1;8;1;false;774;
"undefined";"undefined";"undefined";"undefined";8;1;4;1;8;1;false;644;
"undefined";"undefined";"undefined";"undefined";2;6;1;1;7;1;false;992;
"undefined";"undefined";"undefined";"undefined";6;5;0;1;8;1;false;875;
"undefined";"undefined";"undefined";"undefined";8;9;4;1;5;1;false;742;
"undefined";"undefined";"undefined";"undefined";2;6;1;1;4;1;false;1926;
"undefined";"undefined";"undefined";"undefined";4;4;1;1;2;1;false;1249;
"undefined";"undefined";"undefined";"undefined";6;6;1;1;7;1;false;947;
"undefined";"undefined";"undefined";"undefined";4;4;1;1;1;1;true;1217;
"undefined";"undefined";"undefined";"undefined";2;8;3;1;3;1;false;1851;
"undefined";"undefined";"undefined";"undefined";8;7;2;1;9;1;false;780;
"undefined";"undefined";"undefined";"undefined";8;6;1;1;4;1;false;790;
"undefined";"undefined";"undefined";"undefined";2;5;0;1;4;1;false;1275;
"undefined";"undefined";"undefined";"undefined";4;9;4;1;3;1;false;796;
"undefined";"undefined";"undefined";"undefined";6;1;4;1;7;1;false;685;
"undefined";"undefined";"undefined";"undefined";8;8;3;1;8;1;false;680;
"undefined";"undefined";"undefined";"undefined";6;2;3;1;4;1;false;1016;
"undefined";"undefined";"undefined";"undefined";8;2;3;1;10;1;false;661;
"undefined";"undefined";"undefined";"undefined";2;3;2;1;8;1;false;1190;
"undefined";"undefined";"undefined";"undefined";6;4;1;1;5;1;false;1522;
"undefined";"undefined";"undefined";"undefined";2;4;1;1;1;1;true;2101;
"undefined";"undefined";"undefined";"undefined";4;9;4;1;2;1;false;987;
"undefined";"undefined";"undefined";"undefined";6;9;4;1;9;1;false;782;
"undefined";"undefined";"undefined";"undefined";8;1;4;1;7;1;false;818;
"undefined";"undefined";"undefined";"undefined";2;7;2;1;6;1;false;1767;
"undefined";"undefined";"undefined";"undefined";8;4;1;1;9;1;false;1005;
"undefined";"undefined";"undefined";"undefined";6;3;2;1;5;1;false;852;
"undefined";"undefined";"undefined";"undefined";8;2;3;1;7;1;false;677;
"undefined";"undefined";"undefined";"undefined";8;5;0;1;1;1;true;714;
"undefined";"undefined";"undefined";"undefined";4;5;0;1;8;1;false;1911;
"undefined";"undefined";"undefined";"undefined";4;9;4;1;1;1;true;868;
"undefined";"undefined";"undefined";"undefined";2;2;3;1;10;1;false;1069;
"undefined";"undefined";"undefined";"undefined";2;2;3;1;1;1;true;960;
"undefined";"undefined";"undefined";"undefined";4;8;3;1;4;1;false;1191;
"undefined";"undefined";"undefined";"undefined";6;6;1;1;4;1;false;990;
"undefined";"undefined";"undefined";"undefined";6;4;1;1;2;1;false;1461;
"undefined";"undefined";"undefined";"undefined";2;5;0;1;6;1;false;1803;
"undefined";"undefined";"undefined";"undefined";2;9;4;1;8;1;false;1134;
"undefined";"undefined";"undefined";"undefined";2;8;3;1;8;1;false;1042;
"undefined";"undefined";"undefined";"undefined";6;2;3;1;5;1;false;881;
"undefined";"undefined";"undefined";"undefined";6;5;0;1;9;1;false;1082;
"undefined";"undefined";"undefined";"undefined";4;6;1;1;7;1;false;1281;
"undefined";"undefined";"undefined";"undefined";6;1;4;1;10;1;false;702;
"undefined";"undefined";"undefined";"undefined";2;1;4;1;3;1;false;1015;
"undefined";"undefined";"undefined";"undefined";4;4;1;1;7;1;false;1281;
"undefined";"undefined";"undefined";"undefined";8;3;2;1;5;1;false;670;
"undefined";"undefined";"undefined";"undefined";2;2;3;1;8;1;false;1111;
"undefined";"undefined";"undefined";"undefined";6;4;1;1;1;1;true;890;
"undefined";"undefined";"undefined";"undefined";8;6;1;1;5;1;false;879;
"undefined";"undefined";"undefined";"undefined";8;8;3;1;2;1;false;833;
"undefined";"undefined";"undefined";"undefined";4;2;3;1;8;1;false;1002;
"undefined";"undefined";"undefined";"undefined";4;4;1;1;4;1;false;1122;
"undefined";"undefined";"undefined";"undefined";4;3;2;1;5;1;false;872;
"undefined";"undefined";"undefined";"undefined";4;7;2;1;4;1;false;952;
"undefined";"undefined";"undefined";"undefined";4;4;1;1;7;1;false;1552;
"undefined";"undefined";"undefined";"undefined";4;7;2;1;6;1;false;1250;
"undefined";"undefined";"undefined";"undefined";4;6;1;1;9;1;false;1295;
"undefined";"undefined";"undefined";"undefined";2;4;1;1;3;1;false;1876;
"undefined";"undefined";"undefined";"undefined";4;5;0;1;8;1;false;1562;
"undefined";"undefined";"undefined";"undefined";6;9;4;1;8;1;false;923;
"undefined";"undefined";"undefined";"undefined";8;4;1;1;4;1;false;1288;
"undefined";"undefined";"undefined";"undefined";4;1;4;1;4;1;false;704;
"undefined";"undefined";"undefined";"undefined";4;7;2;1;3;1;false;906;
"undefined";"undefined";"undefined";"undefined";4;5;0;1;10;1;false;1350;
"undefined";"undefined";"undefined";"undefined";8;9;4;1;8;1;false;770;
"undefined";"undefined";"undefined";"undefined";6;7;2;1;9;1;false;1005;
