Age;Status;Studies;YearsOfExperience;impression;Format;Error_position;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds
between 30 and (excluding) 35;PhD student;Computer science;more than 3 years, but less than or equal 5 year;I do not think that there was a difference between the notations;Subquery;3;1;0;0;true;6511
between 30 and (excluding) 35;PhD student;Computer science;more than 3 years, but less than or equal 5 year;I do not think that there was a difference between the notations;With;1;1;0;0;true;3610
between 30 and (excluding) 35;PhD student;Computer science;more than 3 years, but less than or equal 5 year;I do not think that there was a difference between the notations;Subquery;3;1;0;0;true;6824
between 30 and (excluding) 35;PhD student;Computer science;more than 3 years, but less than or equal 5 year;I do not think that there was a difference between the notations;With;3;1;0;0;true;12816
between 30 and (excluding) 35;PhD student;Computer science;more than 3 years, but less than or equal 5 year;I do not think that there was a difference between the notations;Subquery;0;1;1;1;true;20080
between 30 and (excluding) 35;PhD student;Computer science;more than 3 years, but less than or equal 5 year;I do not think that there was a difference between the notations;With;4;1;0;0;true;17687
between 30 and (excluding) 35;PhD student;Computer science;more than 3 years, but less than or equal 5 year;I do not think that there was a difference between the notations;With;1;1;0;0;true;5632
between 30 and (excluding) 35;PhD student;Computer science;more than 3 years, but less than or equal 5 year;I do not think that there was a difference between the notations;Subquery;2;1;0;0;true;3589
between 30 and (excluding) 35;PhD student;Computer science;more than 3 years, but less than or equal 5 year;I do not think that there was a difference between the notations;With;2;1;0;0;true;5131
between 30 and (excluding) 35;PhD student;Computer science;more than 3 years, but less than or equal 5 year;I do not think that there was a difference between the notations;With;0;1;1;1;true;21079
between 30 and (excluding) 35;PhD student;Computer science;more than 3 years, but less than or equal 5 year;I do not think that there was a difference between the notations;With;2;1;0;0;true;7285
between 30 and (excluding) 35;PhD student;Computer science;more than 3 years, but less than or equal 5 year;I do not think that there was a difference between the notations;Subquery;1;1;0;0;true;13367
between 30 and (excluding) 35;PhD student;Computer science;more than 3 years, but less than or equal 5 year;I do not think that there was a difference between the notations;Subquery;1;1;0;0;true;13063
between 30 and (excluding) 35;PhD student;Computer science;more than 3 years, but less than or equal 5 year;I do not think that there was a difference between the notations;With;3;1;0;0;true;18087
between 30 and (excluding) 35;PhD student;Computer science;more than 3 years, but less than or equal 5 year;I do not think that there was a difference between the notations;Subquery;1;1;0;0;true;11776
between 30 and (excluding) 35;PhD student;Computer science;more than 3 years, but less than or equal 5 year;I do not think that there was a difference between the notations;Subquery;2;1;0;0;true;3610
between 30 and (excluding) 35;PhD student;Computer science;more than 3 years, but less than or equal 5 year;I do not think that there was a difference between the notations;With;4;1;0;0;true;13044
between 30 and (excluding) 35;PhD student;Computer science;more than 3 years, but less than or equal 5 year;I do not think that there was a difference between the notations;With;1;1;0;0;true;5797
between 30 and (excluding) 35;PhD student;Computer science;more than 3 years, but less than or equal 5 year;I do not think that there was a difference between the notations;With;0;1;1;1;true;15814
between 30 and (excluding) 35;PhD student;Computer science;more than 3 years, but less than or equal 5 year;I do not think that there was a difference between the notations;Subquery;4;1;0;0;true;20536
between 30 and (excluding) 35;PhD student;Computer science;more than 3 years, but less than or equal 5 year;I do not think that there was a difference between the notations;With;1;1;0;0;true;5206
between 30 and (excluding) 35;PhD student;Computer science;more than 3 years, but less than or equal 5 year;I do not think that there was a difference between the notations;With;0;1;1;1;true;15716
between 30 and (excluding) 35;PhD student;Computer science;more than 3 years, but less than or equal 5 year;I do not think that there was a difference between the notations;Subquery;4;1;0;0;true;14102
between 30 and (excluding) 35;PhD student;Computer science;more than 3 years, but less than or equal 5 year;I do not think that there was a difference between the notations;Subquery;2;1;0;0;true;5993
between 30 and (excluding) 35;PhD student;Computer science;more than 3 years, but less than or equal 5 year;I do not think that there was a difference between the notations;Subquery;4;1;0;0;true;19571
between 30 and (excluding) 35;PhD student;Computer science;more than 3 years, but less than or equal 5 year;I do not think that there was a difference between the notations;Subquery;1;1;0;0;true;13034
between 30 and (excluding) 35;PhD student;Computer science;more than 3 years, but less than or equal 5 year;I do not think that there was a difference between the notations;With;4;1;0;0;true;13640
between 30 and (excluding) 35;PhD student;Computer science;more than 3 years, but less than or equal 5 year;I do not think that there was a difference between the notations;With;0;1;1;1;true;14700
between 30 and (excluding) 35;PhD student;Computer science;more than 3 years, but less than or equal 5 year;I do not think that there was a difference between the notations;Subquery;4;1;0;0;true;14752
between 30 and (excluding) 35;PhD student;Computer science;more than 3 years, but less than or equal 5 year;I do not think that there was a difference between the notations;Subquery;4;1;0;0;true;17189
between 30 and (excluding) 35;PhD student;Computer science;more than 3 years, but less than or equal 5 year;I do not think that there was a difference between the notations;With;2;1;0;0;true;8750
between 30 and (excluding) 35;PhD student;Computer science;more than 3 years, but less than or equal 5 year;I do not think that there was a difference between the notations;With;2;1;0;0;true;6314
between 30 and (excluding) 35;PhD student;Computer science;more than 3 years, but less than or equal 5 year;I do not think that there was a difference between the notations;With;3;1;0;0;true;18189
between 30 and (excluding) 35;PhD student;Computer science;more than 3 years, but less than or equal 5 year;I do not think that there was a difference between the notations;Subquery;1;1;0;0;true;13178
between 30 and (excluding) 35;PhD student;Computer science;more than 3 years, but less than or equal 5 year;I do not think that there was a difference between the notations;Subquery;0;1;1;1;true;13989
between 30 and (excluding) 35;PhD student;Computer science;more than 3 years, but less than or equal 5 year;I do not think that there was a difference between the notations;With;2;1;0;0;true;5974
between 30 and (excluding) 35;PhD student;Computer science;more than 3 years, but less than or equal 5 year;I do not think that there was a difference between the notations;Subquery;0;1;1;1;true;14886
between 30 and (excluding) 35;PhD student;Computer science;more than 3 years, but less than or equal 5 year;I do not think that there was a difference between the notations;With;3;1;0;0;true;9557
between 30 and (excluding) 35;PhD student;Computer science;more than 3 years, but less than or equal 5 year;I do not think that there was a difference between the notations;With;3;1;0;0;true;8911
between 30 and (excluding) 35;PhD student;Computer science;more than 3 years, but less than or equal 5 year;I do not think that there was a difference between the notations;Subquery;3;1;0;0;true;10116
between 30 and (excluding) 35;PhD student;Computer science;more than 3 years, but less than or equal 5 year;I do not think that there was a difference between the notations;Subquery;2;1;0;0;true;3611
between 30 and (excluding) 35;PhD student;Computer science;more than 3 years, but less than or equal 5 year;I do not think that there was a difference between the notations;Subquery;2;1;0;0;true;3298
between 30 and (excluding) 35;PhD student;Computer science;more than 3 years, but less than or equal 5 year;I do not think that there was a difference between the notations;Subquery;0;1;1;1;true;16449
between 30 and (excluding) 35;PhD student;Computer science;more than 3 years, but less than or equal 5 year;I do not think that there was a difference between the notations;Subquery;3;1;0;0;true;8241
between 30 and (excluding) 35;PhD student;Computer science;more than 3 years, but less than or equal 5 year;I do not think that there was a difference between the notations;With;4;1;0;0;true;17845
between 30 and (excluding) 35;PhD student;Computer science;more than 3 years, but less than or equal 5 year;I do not think that there was a difference between the notations;Subquery;0;1;1;1;true;19256
between 30 and (excluding) 35;PhD student;Computer science;more than 3 years, but less than or equal 5 year;I do not think that there was a difference between the notations;Subquery;3;1;0;0;true;6920
between 30 and (excluding) 35;PhD student;Computer science;more than 3 years, but less than or equal 5 year;I do not think that there was a difference between the notations;With;0;1;1;1;true;16131
between 30 and (excluding) 35;PhD student;Computer science;more than 3 years, but less than or equal 5 year;I do not think that there was a difference between the notations;With;4;1;0;0;true;11899
between 30 and (excluding) 35;PhD student;Computer science;more than 3 years, but less than or equal 5 year;I do not think that there was a difference between the notations;With;1;1;0;0;true;6056
